front,phonetic,translation,sentence,sentence_translation
"Hij heeft een snelle auto.", "hy heeft ayn snelle auto", "Dia memiliki mobil yang cepat.", "Zijn auto kan heel snel gaan.", "Mobilnya bisa berjalan sangat cepat."
"Ik hou van dansen.", "ik how van dansen", "Saya suka menari.", "Dans is mijn favoriete hobby.", "Menari adalah hobi favorit saya."
"We gaan naar een feestje.", "we gaan nar ayn feestje", "Kita akan pergi ke pesta.", "Het feestje begint vanavond.", "Pestanya dimulai malam ini."
"Ik heb een interessant boek gelezen.", "ik heb ayn interes-sant book ge-lezen", "Saya telah membaca sebuah buku yang menarik.", "Het boek was vol met boeiende personages.", "Buku itu penuh dengan karakter yang menarik."
"Het is een mooie dag.", "het is ayn mooi-e dag", "Ini adalah hari yang indah.", "De zon schijnt fel vandaag.", "Matahari bersinar terang hari ini."
"Hij heeft een zus en een broer.", "hy heeft ayn zus en ayn broer", "Dia memiliki seorang saudara perempuan dan seorang saudara laki-laki.", "Zijn broer is ouder dan zijn zus.", "Saudara lakinya lebih tua dari saudara perempuannya."
"Ze houdt van lezen.", "ze howd van lezen", "Dia suka membaca.", "Ze leest elke dag een nieuw boek.", "Dia membaca buku baru setiap hari."
"Ik ga op vakantie.", "ik ga op vakan-tie", "Saya akan berlibur.", "Mijn vakantie begint volgende week.", "Liburan saya dimulai minggu depan."
"We hebben een leuke dag gehad.", "we hebben ayn leuk-e dag gehad", "Kami telah menghabiskan hari yang menyenangkan.", "De dag was gevuld met veel activiteiten.", "Hari itu dipenuhi dengan banyak aktivitas."
"Ik heb mijn sleutels verloren.", "ik heb meyn sleutels ver-loren", "Saya telah kehilangan kunci saya.", "Ik kan mijn sleutels nergens vinden.", "Saya tidak dapat menemukan kunci saya di mana-mana."
"Hij is een goede vriend van me.", "hy is ayn goede vriend van me", "Dia adalah teman baik saya.", "We hebben veel samen meegemaakt.", "Kami telah melewati banyak hal bersama."
"Ze gaat naar de markt.", "ze gaat nar de markt", "Dia akan pergi ke pasar.", "Ze koopt altijd verse groenten op de markt.", "Dia selalu membeli sayuran segar di pasar."
"Ik ben moe.", "ik ben moe", "Saya lelah.", "Ik heb een lange dag gehad.", "Saya telah menjalani hari yang panjang."
"Het is een spannend boek.", "het is ayn span-nend book", "Ini adalah buku yang menarik.", "Ik kan het boek niet wegleggen.", "Saya tidak bisa meletakkan buku ini."
"We gaan wandelen in het bos.", "we gaan wan-delen in het bos", "Kita akan berjalan-jalan di hutan.", "Het bos is vol met prachtige natuur.", "Hutan itu penuh dengan alam yang indah."
"Ik heb een heerlijke pizza gegeten.", "ik heb ayn heer-lijke pizza ge-eten", "Saya telah makan pizza yang lezat.", "De pizza was vers uit de oven.", "Pizzanya baru keluar dari oven."
"Hij houdt van voetbal.", "hy howd van voetbal", "Dia suka sepak bola.", "Hij speelt elk weekend voetbal.", "Dia bermain sepak bola setiap akhir pekan."
"Ze gaat naar de bibliotheek.", "ze gaat nar de bibliotheek", "Dia akan pergi ke perpustakaan.", "Ze leent vaak boeken uit de bibliotheek.", "Dia sering meminjam buku dari perpustakaan."
"Ik moet naar de dokter.", "ik moet nar de dokter", "Saya harus pergi ke dokter.", "Ik voel me niet zo goed vandaag.", "Saya merasa tidak begitu baik hari ini."
"We hebben een kat genaamd Mia.", "we hebben ayn kat ge-naamd Mia", "Kami memiliki seekor kucing bernama Mia.", "Mia is de liefste kat.", "Mia adalah kucing yang paling manis."
"Ik heb gisteren een film gekeken.", "ik heb gis-teren ayn film ge-keken", "Saya menonton film kemarin.", "De film was zeer ontroerend.", "Filmnya sangat mengharukan."
"Hij heeft een nieuwe fiets.", "hy heeft ayn niew-uh fiets", "Dia memiliki sepeda baru.", "Hij fietst elke dag naar zijn werk.", "Dia bersepeda ke tempat kerjanya setiap hari."
"Ze woont in Amsterdam.", "ze woont in Amsterdam", "Dia tinggal di Amsterdam.", "Amsterdam is een prachtige stad.", "Amsterdam adalah kota yang indah."
"Ik ga naar de supermarkt.", "ik ga nar de supermarkt", "Saya akan pergi ke supermarket.", "Ik moet wat boodschappen doen.", "Saya harus belanja beberapa barang."
"Het is tijd om te eten.", "het is tyd om te eten", "Saatnya makan.", "Het eten is al klaar.", "Makanannya sudah siap."
"We gaan op reis.", "we gaan op reis", "Kami akan pergi berpergian.", "Ik kijk uit naar onze reis.", "Saya menantikan perjalanan kami."
"Ik heb een kopje koffie gedronken.", "ik heb ayn kopje koffie ge-dronken", "Saya telah minum secangkir kopi.", "De koffie was erg sterk.", "Kopinya sangat kuat."
"Hij heeft bruine ogen.", "hy heeft bruine ogen", "Dia memiliki mata coklat.", "Zijn ogen zijn dezelfde kleur als chocolade.", "Matanya berwarna sama seperti cokelat."
"Ze heeft een nieuwe jurk gekocht.", "ze heeft ayn niew-uh jurk ge-kocht", "Dia membeli gaun baru.", "De jurk past perfect bij haar.", "Gaun itu cocok sempurna padanya."
"Ik houd van deze plek.", "ik howd van deze plek", "Saya suka tempat ini.", "Het uitzicht hier is adembenemend.", "Pemandangannya di sini mengambil nafas."
"We hebben samen geluncht.", "we hebben sa-men ge-luncht", "Kami telah makan siang bersama.", "De lunch was heerlijk.", "Makan siangnya sangat lezat."
"Ik heb een nieuwe telefoon.", "ik heb ayn niew-uh telefoon", "Saya memiliki telepon baru.", "Mijn oude telefoon was kapot.", "Telepon lama saya rusak."
"Hij woont in een groot huis.", "hy woont in ayn groot huis", "Dia tinggal di sebuah rumah besar.", "Het huis heeft een prachtige tuin.", "Rumah itu memiliki taman yang indah."
"Ze is naar school.", "ze is nar school", "Dia sedang di sekolah.", "Ze heeft vandaag een examen.", "Dia memiliki ujian hari ini."
"Ik ga naar bed.", "ik ga nar bed", "Saya akan tidur.", "Ik ben erg moe vandaag.", "Saya sangat lelah hari ini."
"Het is een prachtige nacht.", "het is ayn prach-tige nacht", "Ini adalah malam yang indah.", "De sterren zijn vanavond helder.", "Bintang-bintang malam ini cerah."
"We gaan naar het park.", "we gaan nar het park", "Kita akan pergi ke taman.", "Er is een speeltuin in het park.", "Ada taman bermain di taman itu."
"Ik heb een verjaardagsfeestje.", "ik heb ayn ver-jaar-dags-feestje", "Saya memiliki pesta ulang tahun.", "Ik ben vandaag jarig.", "Hari ini adalah ulang tahun saya."
"Hij heeft een hond.", "hy heeft ayn hond", "Dia memiliki seekor anjing.", "Zijn hond is erg vriendelijk.", "Anjingnya sangat ramah."
"Ze maakt het avondeten.", "ze maakt het avond-eten", "Dia sedang memasak makan malam.", "Ze is een uitstekende kok.", "Dia adalah koki yang luar biasa."
"Ik ga naar de sportschool.", "ik ga nar de sportschool", "Saya akan pergi ke gym.", "Ik probeer elke dag te sporten.", "Saya mencoba berolahraga setiap hari."
"We hebben een tuin.", "we hebben ayn tuin", "Kami memiliki taman.", "De tuin staat vol met bloemen.", "Taman itu penuh dengan bunga."
"Ik heb een nieuwe baan.", "ik heb ayn niew-uh baan", "Saya memiliki pekerjaan baru.", "Ik begin volgende week met mijn nieuwe baan.", "Saya akan mulai bekerja di pekerjaan baru saya minggu depan."
"Hij is naar het museum.", "hy is nar het museum", "Dia pergi ke museum.", "Hij houdt van kunst.", "Dia suka seni."
"Ze speelt piano.", "ze speelt piano", "Dia bermain piano.", "Ze heeft vandaag piano geoefend.", "Dia berlatih piano hari ini."
"Ik ga naar de bioscoop.", "ik ga nar de bioscoop", "Saya akan pergi ke bioskop.", "Er draait vandaag een goede film.", "Ada film bagus yang diputar hari ini."
"We maken een wandeling.", "we maken ayn wan-deling", "Kami akan berjalan-jalan.", "Het weer is perfect voor een wandeling.", "Cuacanya sempurna untuk berjalan-jalan."
"Het is koud buiten.", "het is koud buiten", "Dingin di luar.", "Ik moet mijn jas aandoen.", "Saya harus memakai jaket saya."
"Ik heb een heerlijke taart gebakken.", "ik heb ayn heer-lijke taart ge-bakken", "Saya telah memanggang kue yang lezat.", "De taart is vers uit de oven.", "Kuenya baru saja keluar dari oven."
"Hij leest een krant.", "hy leest ayn krant", "Dia sedang membaca koran.", "Hij leest elke dag de krant.", "Dia membaca koran setiap hari."
"Ze schildert een portret.", "ze schildert ayn portret", "Dia sedang melukis potret.", "Ze is een getalenteerde schilder.", "Dia adalah pelukis yang berbakat."
"Ik drink een kopje thee.", "ik drink ayn kopje thee", "Saya sedang minum secangkir teh.", "De thee is heerlijk warm.", "Tehnya hangat dan enak."
"We spelen een spel.", "we spelen ayn spel", "Kami sedang bermain permainan.", "Het spel is erg leuk.", "Permainannya sangat menyenangkan."
"Ik schrijf een brief.", "ik schrijf ayn brief", "Saya sedang menulis surat.", "Ik schrijf een brief aan mijn vriend.", "Saya sedang menulis surat kepada teman saya."
"Hij heeft een lange dag gehad.", "hy heeft ayn lange dag gehad", "Dia telah menghabiskan hari yang panjang.", "Hij is nu erg moe.", "Dia sekarang sangat lelah."
"Ze speelt gitaar.", "ze speelt gitaar", "Dia bermain gitar.", "Ze speelt elke dag gitaar.", "Dia bermain gitar setiap hari."
"We gaan naar het strand.", "we gaan nar het strand", "Kami pergi ke pantai.", "Het is een perfecte dag voor het strand.", "Ini adalah hari yang sempurna untuk pergi ke pantai."
"Ik heb een boek geschreven.", "ik heb ayn book ge-schreven", "Saya telah menulis sebuah buku.", "Het boek wordt volgende maand gepubliceerd.", "Buku itu akan diterbitkan bulan depan."
"Hij neemt een bad.", "hy neemt ayn bad", "Dia sedang mandi.", "Hij houdt van een warm bad.", "Dia suka mandi air hangat."
"Ze is aan het winkelen.", "ze is an het winkelen", "Dia sedang berbelanja.", "Ze houdt van winkelen in het weekend.", "Dia suka berbelanja di akhir pekan."
"Ik heb een vriend uit Indonesië.", "ik heb ayn vriend out Indonesië", "Saya memiliki teman dari Indonesia.", "We ontmoetten elkaar tijdens een reis.", "Kami bertemu saat dalam perjalanan."
"We hebben vandaag gepicknickt.", "we hebben van-daag ge-pick-nickt", "Kami piknik hari ini.", "We hadden veel plezier bij de picknick.", "Kami sangat menikmati piknik tersebut."
"Hij is aan het hardlopen.", "hy is an het hardlopen", "Dia sedang berlari.", "Hij doet aan ochtendjoggen.", "Dia biasa lari pagi."
"Ze is aan het koken.", "ze is an het koken", "Dia sedang memasak.", "Ze bereidt het diner voor.", "Dia sedang menyiapkan makan malam."
"Ik ga naar de universiteit.", "ik ga nar de universiteit", "Saya pergi ke universitas.", "Ik studeer geneeskunde aan de universiteit.", "Saya sedang belajar kedokteran di universitas."
"We hebben een gezellige avond.", "we hebben ayn gezel-lige avond", "Kami menghabiskan malam yang menyenangkan.", "We kijken samen naar een film.", "Kami menonton film bersama."
"Hij luistert naar muziek.", "hy luistert nar muziek", "Dia sedang mendengarkan musik.", "Hij houdt van klassieke muziek.", "Dia suka musik klasik."
"Ze is aan het studeren.", "ze is an het studeren", "Dia sedang belajar.", "Ze bereidt zich voor op haar examens.", "Dia sedang mempersiapkan diri untuk ujian."
"Ik ga fietsen.", "ik ga fietsen", "Saya akan bersepeda.", "Ik fiets graag in het park.", "Saya suka bersepeda di taman."
"We gaan naar de dierentuin.", "we gaan nar de dierentuin", "Kami akan pergi ke kebun binatang.", "We kijken uit naar de olifanten.", "Kami tidak sabar melihat gajah."
"Ze werkt in een ziekenhuis.", "ze werkt in ayn ziekenhuis", "Dia bekerja di rumah sakit.", "Ze is een zeer toegewijde verpleegster.", "Dia adalah perawat yang sangat berdedikasi."
"We gaan naar een concert.", "we gaan nar ayn concert", "Kami akan pergi ke konser.", "De band die speelt is onze favoriet.", "Band yang tampil adalah favorit kami."
"Ik lees een roman.", "ik lees ayn roman", "Saya sedang membaca sebuah novel.", "Deze roman is erg boeiend.", "Novel ini sangat menarik."
"Hij zwemt in het meer.", "hy zwemt in het meer", "Dia sedang berenang di danau.", "Het meerwater is verfrissend.", "Air danau sangat menyegarkan."
"Ze kijkt naar een film.", "ze kijkt nar ayn film", "Dia sedang menonton film.", "Ze kijkt naar een romantische film.", "Dia sedang menonton film romantis."
"Ik heb een huisdier.", "ik heb ayn huisdier", "Saya memiliki hewan peliharaan.", "Mijn hond is erg speels.", "Anjing saya sangat lincah."
"We reizen naar Bali.", "we reizen nar Bali", "Kami akan bepergian ke Bali.", "We kijken uit naar de prachtige stranden van Bali.", "Kami tidak sabar melihat pantai-pantai indah di Bali."
"Hij speelt voetbal.", "hy speelt voetbal", "Dia bermain sepak bola.", "Hij is een getalenteerde voetballer.", "Dia adalah pemain sepak bola yang berbakat."
"Ze maakt een tekening.", "ze maakt ayn tekening", "Dia sedang membuat gambar.", "Ze is erg creatief.", "Dia sangat kreatif."
"Ik zing een lied.", "ik zing ayn lied", "Saya sedang menyanyikan lagu.", "Ik oefen voor het komende concert.", "Saya sedang berlatih untuk konser yang akan datang."
"We planten bomen.", "we planten bomen", "Kami menanam pohon.", "We doen ons best om de natuur te helpen.", "Kami berusaha membantu alam."
"Hij speelt schaak.", "hy speelt schaak", "Dia bermain catur.", "Hij is de kampioen in onze schaakclub.", "Dia adalah juara di klub catur kami."
"Ze leert Spaans.", "ze leert Spaans", "Dia sedang belajar bahasa Spanyol.", "Ze wil naar Spanje reizen volgend jaar.", "Dia ingin bepergian ke Spanyol tahun depan."
"Ik eet een appel.", "ik eet ayn appel", "Saya sedang makan apel.", "Ik probeer gezond te eten.", "Saya berusaha makan sehat."
"We spelen een bordspel.", "we spelen ayn bordspel", "Kami sedang bermain permainan papan.", "Monopoly is ons favoriete bordspel.", "Monopoli adalah permainan papan favorit kami."
"Hij leest de krant.", "hy leest de krant", "Dia sedang membaca koran.", "Hij leest elke ochtend de krant bij het ontbijt.", "Dia membaca koran setiap pagi saat sarapan."
"Ik speel gitaar.", "ik speel gitaar", "Saya sedang bermain gitar.", "Ik oefen elke avond gitaar.", "Saya berlatih gitar setiap malam."
"We kijken naar de zonsondergang.", "we kijken nar de zonsondergang", "Kami sedang menonton matahari terbenam.", "De zonsondergang is prachtig op het strand.", "Matahari terbenam sangat indah di pantai."
"Hij schrijft een brief.", "hy schrijft ayn brief", "Dia sedang menulis surat.", "Hij schrijft een brief aan zijn grootmoeder.", "Dia sedang menulis surat untuk neneknya."
"Ze rijdt paard.", "ze rijdt paard", "Dia sedang mengendarai kuda.", "Ze neemt elke week rijlessen.", "Dia mengambil pelajaran berkuda setiap minggu."
"Ik bak een taart.", "ik bak ayn taart", "Saya sedang membuat kue.", "Ik bak een appeltaart voor het dessert.", "Saya membuat kue apel untuk makan penutup."
"We bezoeken een geheime tuin.", "we bezoeken ayn geheime tuin", "Kami sedang mengunjungi taman rahasia.", "Er gaat een legende over deze geheime tuin.", "Ada legenda tentang taman rahasia ini."
"Hij ontdekt een oud manuscript.", "hy ontdekt ayn out manuscript", "Dia menemukan manuskrip kuno.", "Het oude manuscript bevat onbekende symbolen.", "Manuskrip kuno ini berisi simbol-simbol yang tidak dikenal."
"Ze vliegt met een luchtballon.", "ze vliegt met ayn luchtballon", "Dia sedang terbang dengan balon udara.", "Vanuit de luchtballon ziet ze het hele landschap.", "Dari balon udara, dia bisa melihat seluruh pemandangan."
"Ik verzamel zeldzame munten.", "ik verzamel zeldzame munten", "Saya mengumpulkan koin-koin langka.", "Deze zeldzame munt komt uit de 17e eeuw.", "Koin langka ini berasal dari abad ke-17."
"We volgen de kaart naar de schat.", "we volgen de kaart nar de schat", "Kami mengikuti peta menuju harta karun.", "De kaart leidt ons naar een verborgen grot.", "Peta ini membawa kami ke sebuah gua tersembunyi."
"Hij spreekt met de dieren.", "hy spreekt met de dieren", "Dia berbicara dengan hewan-hewan.", "Volgens het verhaal kan hij met dieren praten.", "Menurut cerita, dia bisa berbicara dengan hewan."
"Ze tekent in het zand.", "ze tekent in het zand", "Dia sedang menggambar di pasir.", "Ze tekent een groot hart in het zand.", "Dia menggambar sebuah hati besar di pasir."
"Ik maak een magische drank.", "ik maak ayn magische drank", "Saya sedang membuat ramuan ajaib.", "Deze drank kan iemand onzichtbaar maken.", "Ramuan ini bisa membuat seseorang menjadi tidak terlihat."
"We zoeken naar de verloren stad.", "we zoeken nar de verloren stad", "Kami sedang mencari kota yang hilang.", "De verloren stad is een mysterie dat we willen ontrafelen.", "Kota yang hilang adalah misteri yang ingin kami pecahkan."
"Hij bouwt een robot.", "hy bouwt ayn robot", "Dia sedang membuat robot.", "Zijn robot kan complexe taken uitvoeren.", "Robotnya bisa melakukan tugas-tugas yang kompleks."
"Ze danst in de regen.", "ze danst in de regen", "Dia sedang menari dalam hujan.", "Ze voelt zich vrij als ze in de regen danst.", "Dia merasa bebas saat menari dalam hujan."
"Ik schilder de sterrenhemel.", "ik schilder de sterrenhemel", "Saya sedang melukis langit berbintang.", "De sterrenhemel is mijn favoriete onderwerp om te schilderen.", "Langit berbintang adalah subjek favorit saya untuk dilukis."
"We ontdekken een nieuwe planeet.", "we ontdekken ayn nieuwe planeet", "Kami menemukan planet baru.", "De nieuwe planeet heeft een uniek klimaat.", "Planet baru ini memiliki iklim yang unik."
"Hij speelt een oud lied.", "hy speelt ayn out lied", "Dia sedang memainkan lagu lama.", "Het oude lied roept nostalgische gevoelens op.", "Lagu lama itu membangkitkan perasaan nostalgia."
"Ze droomt van vliegen.", "ze droomt van vliegen", "Dia bermimpi tentang terbang.", "In haar dromen vliegt ze over bergen en zeeën.", "Dalam mimpinya, dia terbang melewati gunung dan laut."
"Ik vertel een sprookje.", "ik vertel ayn sprookje", "Saya sedang menceritakan dongeng.", "Het sprookje gaat over een moedige prinses.", "Dongeng itu tentang seorang putri yang berani."
"We ontgrendelen een oud mysterie.", "we ontgrendelen ayn out mysterie", "Kami sedang membuka misteri kuno.", "Het oude mysterie heeft betrekking op een verdwenen beschaving.", "Misteri kuno ini berkaitan dengan peradaban yang telah hilang."
"Hij bevrijdt de draak.", "hy bevrijdt de draak", "Dia membebaskan naga.", "De draak is nu vrij om door de lucht te vliegen.", "Naga sekarang bebas untuk terbang di langit."
"Ze creëert een fantasiewereld.", "ze creëert ayn fantasiewereld", "Dia sedang menciptakan dunia fantasi.", "Haar fantasiewereld zit vol magische wezens.", "Dunia fantasi miliknya penuh dengan makhluk ajaib."
"Ik ontdek een geheime doorgang.", "ik ontdek ayn geheime doorgang", "Saya menemukan jalan rahasia.", "De geheime doorgang leidt naar een verborgen kamer.", "Jalan rahasia ini menuju ke ruangan tersembunyi."
"We navigeren door het labyrint.", "we navigeren door het labyrint", "Kami sedang menavigasi melalui labirin.", "Het labyrint is vol verrassingen en uitdagingen.", "Labirin ini penuh dengan kejutan dan tantangan."
"Hij decodeert de boodschap.", "hy decodeert de boodschap", "Dia sedang mendekode pesan.", "De boodschap komt van een onbekende bron.", "Pesan ini datang dari sumber yang tidak dikenal."
"Ze componeert een symfonie.", "ze componeert ayn symfonie", "Dia sedang menggubah simfoni.", "Haar symfonie is een meesterwerk van muzikale expressie.", "Simfoni miliknya adalah sebuah mahakarya ekspresi musik."
"We doorbreken de code.", "we doorbreken de code", "Kami sedang memecahkan kode.", "Het doorbreken van de code onthult een geheim bericht.", "Memecahkan kode ini mengungkapkan pesan rahasia."
"Hij plant een magische tuin.", "hy plant ayn magische tuin", "Dia sedang menanam taman ajaib.", "De magische tuin groeit met ongewone planten.", "Taman ajaib ini tumbuh dengan tanaman yang tidak biasa."
